country,2000-2005,2006-2011,2012-2017
United States,331,500,507
Czech Republic,1,2,3
Greece,25,59,66
Italy,71,133,151
Belgium,34,47,42
Kenya,5,5,5
Ukraine,7,24,37
Netherlands,89,148,156
Panama,11,12,29
France,120,173,200
Costa Rica,16,33,27
South Korea,38,71,64
Thailand,219,420,359
Laos,10,18,18
Vietnam,69,130,154
Malaysia,83,139,144
Indonesia,111,194,195
Singapore,76,101,126
Cambodia,33,71,53
Austria,28,69,69
China,97,155,130
Russia,26,35,43
Lithuania,10,16,17
Poland,29,49,64
United Kingdom,156,236,245
Paraguay,1,2,5
Brazil,45,62,57
Argentina,22,57,63
Uruguay,7,17,15
Chile,14,33,34
Georgia,2,13,18
Sri Lanka,11,20,23
Portugal,56,142,182
Spain,146,278,286
Peru,20,50,42
Ecuador,10,13,17
Canada,68,113,119
Mexico,41,112,138
New Zealand,33,48,52
Colombia,40,69,91
Nepal,8,11,10
Australia,66,103,120
Cuba,6,15,24
Hungary,55,93,105
Norway,25,38,29
Latvia,10,14,9
Estonia,13,34,33
Finland,18,29,26
Taiwan,39,47,76
Iceland,11,28,23
South Africa,17,24,39
Switzerland,35,58,59
Nicaragua,3,8,12
Honduras,1,3,4
Belize,6,5,3
Philippines,37,46,52
United Arab Emirates,26,34,41
Japan,63,129,131
Romania,14,21,42
Bolivia,9,17,10
Ireland,27,49,51
Germany,167,232,245
Denmark,40,49,60
Israel,17,29,29
Turkey,37,43,37
Cyprus,5,5,11
Bulgaria,10,26,42
Slovenia,19,12,15
Croatia,36,59,72
Jordan,3,8,3
Sweden,40,43,71
,4,7,1
Serbia,15,30,51
India,30,53,52
Malta,5,11,19
Qatar,1,16,8
Slovakia,11,22,24
Dominican Republic,6,8,9
Mauritius,1,0,2
Egypt,6,14,7
British Virgin Islands,3,0,0
Montenegro,9,17,15
Lebanon,4,3,4
Bahrain,1,0,2
Morocco,20,35,50
Belarus,3,3,9
Czechia,48,80,84
Moldova,1,2,3
Jamaica,4,0,6
Aruba,3,3,9
The Bahamas,1,2,3
Vatican City,1,4,4
San Marino,1,4,0
Tanzania,1,5,9
Botswana,1,0,1
Bosnia and Herzegovina,3,6,17
Curaçao,4,1,8
Puerto Rico,5,5,11
Monaco,3,3,6
Fiji,3,3,2
Kyrgyzstan,2,4,0
Iran,4,4,5
Tonga,1,0,1
Ethiopia,1,1,2
Guatemala,7,15,6
Andorra,4,0,2
Seychelles,2,1,1
Brunei,1,1,0
Myanmar,10,12,3
Maldives,5,1,6
Oman,1,1,4
Saudi Arabia,2,3,2
Reunion,1,0,1
Namibia,2,1,1
Zimbabwe,1,0,0
Tunisia,1,1,0
Bhutan,1,1,0
Bermuda,2,3,2
Luxembourg,2,5,5
Nigeria,1,2,0
Swaziland,1,0,1
Uganda,1,1,1
North Korea,2,1,2
LL48,1,0,0
Albania,5,5,7
Venezuela,2,2,0
Gibraltar,1,1,2
Macedonia (FYROM),1,0,5
Senegal,1,3,1
Cameroon,1,0,1
Angola,1,0,0
Macedonia,4,2,1
Bosnia-Herzegovina,5,6,2
Svalbard and Jan Mayen,2,2,0
Collectivity of Saint Martin,2,0,0
Saint-Barthélemy,1,1,0
Anguilla,1,0,0
Samoa,1,0,0
Kosovo,1,2,0
Turks and Caicos Islands,1,0,0
Cocos (Keeling) Islands,1,0,0
Perú,1,0,0
Sanur,1,0,0
Mongolia,0,3,2
Antarctica,0,3,3
180 40,0,1,0
Armenia,0,1,3
Azerbaijan,0,4,4
Cayman Islands,0,1,3
Madagascar,0,1,2
Greenland,0,1,1
Kazakhstan,0,6,2
Uzbekistan,0,2,0
Guadeloupe,0,1,1
Myanmar (Burma),0,10,10
Rwanda,0,3,1
U.S. Virgin Islands,0,2,1
Pakistan,0,1,1
Bangladesh,0,2,3
Cape Verde,0,1,2
Sint Maarten,0,3,7
671 03,0,1,0
Ghana,0,2,0
Atlantic Ocean,0,1,3
Antigua and Barbuda,0,2,3
Mozambique,0,2,0
Barbados,0,3,2
KY16,0,1,0
Cook Islands,0,1,1
Lower Subansiri,0,1,0
Timor-Leste,0,1,0
Abkhazia,0,1,0
El Salvador,0,5,2
IV51,0,1,0
Saint Martin,0,1,0
French Polynesia,0,1,0
AB30,0,1,0
Afghanistan,0,1,0
Hong Kong,0,2,0
630 72,0,1,0
Khammouane Province,0,1,0
847 00,0,1,0
11000,0,1,0
45230,0,1,0
DG6,0,1,0
Palau,0,1,0
Spania,0,1,0
Saint Lucia,0,2,1
EX17,0,1,0
Slovensko,0,1,0
Finnland,0,1,0
Prishtina,0,0,1
Lesotho,0,0,1
Faroe Islands,0,0,2
Saint Kitts and Nevis,0,0,5
Trinidad and Tobago,0,0,1
Haiti,0,0,1
Guernsey,0,0,1
Red Sea,0,0,1
Bab al-Mandab Strait,0,0,1
Papua New Guinea,0,0,1
Caribbean Sea,0,0,4
Lake Titicaca,0,0,1
Åland Islands,0,0,1
Patagonia,0,0,1
Pristina District,0,0,1
Liechtenstein,0,0,1
Crimea,0,0,1
Iguazu Falls,0,0,1
New Caledonia,0,0,1
Algeria,0,0,1
Mayotte,0,0,1
Grenada,0,0,2
Saint Vincent and the Grenadines,0,0,1
Martinique,0,0,1
Solomon Islands,0,0,1
